Report Date,PFI,Facility Name,Hospital County,Hospital Region,NY Forward Region,Hospital Network,Total Employees,Partially Vaccinated,Fully Vaccinated,Staff Booster,Total Staff Furloughed,Direct Care Staff Furloughed,Direct Care Employees
12/06/2022,000192,Northern Dutchess Hospital,Dutchess,Metropolitan Area Regional Office,Mid-Hudson,Nuvance Health,1087,17,1061,728,3,3,725
12/06/2022,000309,The University of Vermont Health Network-Elizabethtown Community Hospital Moses Ludington,Essex,Capital District Regional Office,North Country,The University of Vermont Health Network Elizabeth,83,0,83,81,1,0,60
12/06/2022,000484,St. Mary's Healthcare,Montgomery,Capital District Regional Office,Mohawk Valley,Ascension Health,1468,3,1454,1038,3,1,1012
12/06/2022,000528,Nassau University Medical Center,Nassau,Metropolitan Area Regional Office,Long Island,Independent,4017,0,3999,1505,0,0,2658
12/06/2022,000678,F.F. Thompson Hospital,Ontario,Western Regional Office,Finger Lakes,University of Rochester Medical Center,1610,2,1605,1237,9,9,1610
12/06/2022,000704,St Anthony Community Hospital,Orange,Metropolitan Area Regional Office,Mid-Hudson,Westchester Medical Center Health Network,407,0,405,238,1,1,232
12/06/2022,000727,Oswego Hospital,Oswego,Central New York Regional Office,Central New York,Independent,1033,1,1028,798,2,1,596
12/06/2022,000968,Catskill Regional Medical Center - G. Hermann Site,Sullivan,Metropolitan Area Regional Office,Mid-Hudson,Garnet Health -formerly Greater Hudson Valley Health System,40,0,40,27,0,0,29
12/06/2022,001117,Northern Westchester Hospital,Westchester,Metropolitan Area Regional Office,Mid-Hudson,Northwell Health,1530,2,1508,1265,2,2,882
12/06/2022,001153,Wyoming County Community Hospital,Wyoming,Western Regional Office,Finger Lakes,Independent,632,12,620,508,0,0,376
12/06/2022,001439,Mount Sinai Beth Israel,New York,Metropolitan Area Regional Office,New York City,Mount Sinai Health System,5105,2,5094,3827,11,7,3099
12/06/2022,001456,Mount Sinai Hospital,New York,Metropolitan Area Regional Office,New York City,Mount Sinai Health System,29037,12,28979,22990,43,34,18542
12/06/2022,000990,HealthAlliance Hospital Broadway Campus,Ulster,Metropolitan Area Regional Office,Mid-Hudson,Westchester Medical Center Health Network,1027,0,1021,844,5,5,720
12/06/2022,000829,Ellis Hospital,Schenectady,Capital District Regional Office,Capital Region,Independent,2496,0,2480,1607,24,16,1625
12/06/2022,000924,Southside Hospital,Suffolk,Metropolitan Area Regional Office,Long Island,Northwell Health,2610,10,2575,1697,6,4,1741
12/06/2022,000037,Cuba Memorial Hospital Inc,Allegany,Western Regional Office,Western New York,Independent,52,0,50,43,0,0,49
12/06/2022,000066,Olean General Hospital,Cattaraugus,Western Regional Office,Western New York,Kaleida Health,1145,15,1110,489,2,2,1015
12/06/2022,000085,Auburn Community Hospital,Cayuga,Central New York Regional Office,Central New York,Independent,1360,0,1351,1040,7,2,742
12/06/2022,000210,Erie County Medical Center,Erie,Western Regional Office,Western New York,Independent,3499,3,3494,2455,11,8,2339
12/06/2022,000218,Sisters of Charity Hospital,Erie,Western Regional Office,Western New York,"Catholic Health, Buffalo",2069,9,2043,1066,9,9,1671
12/06/2022,000324,Adirondack Medical Center-Saranac Lake Site,Franklin,Capital District Regional Office,North Country,Independent,915,0,913,862,3,2,624
12/06/2022,000383,Lewis County General Hospital,Lewis,Central New York Regional Office,North Country,Independent,547,0,545,435,0,0,351
12/06/2022,000412,The Unity Hospital of Rochester - St. Mary's Campus,Monroe,Western Regional Office,Finger Lakes,Rochester Regional Health System,47,0,47,29,0,0,47
12/06/2022,000413,Strong Memorial Hospital,Monroe,Western Regional Office,Finger Lakes,University of Rochester Medical Center,20190,5,20098,15859,164,134,15485
12/06/2022,000471,The Unity Hospital of Rochester,Monroe,Western Regional Office,Finger Lakes,Rochester Regional Health System,4439,0,4428,3231,0,0,3286
12/06/2022,000635,University Hospital SUNY Health Science Center,Onondaga,Central New York Regional Office,Central New York,Independent,8661,0,8653,7226,31,21,7496
12/06/2022,000699,Orange Regional Medical Center,Orange,Metropolitan Area Regional Office,Mid-Hudson,Garnet Health -formerly Greater Hudson Valley Health System,3549,0,3548,2688,47,38,2839
12/06/2022,001039,NewYork-Presbyterian/Hudson Valley Hospital,Westchester,Metropolitan Area Regional Office,Mid-Hudson,New York-Presbyterian Healthcare System,1511,4,1460,1149,8,5,1043
12/06/2022,001072,Montefiore New Rochelle Hospital,Westchester,Metropolitan Area Regional Office,Mid-Hudson,Montefiore Healthcare System,1044,0,1029,808,2,0,672
12/06/2022,001098,St. Joseph's Medical Center,Westchester,Metropolitan Area Regional Office,Mid-Hudson,Independent,979,0,971,715,8,4,655
12/06/2022,001186,North Central Bronx Hospital,Bronx,Metropolitan Area Regional Office,New York City,NYC H+H,1717,23,1633,376,6,3,1187
12/06/2022,001305,Maimonides Medical Center,Kings,Metropolitan Area Regional Office,New York City,Independent,6798,4,6786,5064,15,12,4418
12/06/2022,001306,NewYork-Presbyterian Brooklyn Methodist Hospital,Kings,Metropolitan Area Regional Office,New York City,New York-Presbyterian Healthcare System,5076,16,4954,3595,33,28,3740
12/06/2022,001438,Bellevue Hospital Center,New York,Metropolitan Area Regional Office,New York City,NYC H+H,10390,76,10044,2208,8,6,8266
12/06/2022,001288,Brooklyn Hospital Center - Downtown Campus,Kings,Metropolitan Area Regional Office,New York City,Independent,2616,7,2604,1278,18,12,1627
12/06/2022,001294,Coney Island Hospital,Kings,Metropolitan Area Regional Office,New York City,NYC H+H,3588,82,3382,811,10,5,2535
12/06/2022,001318,Wyckoff Heights Medical Center,Kings,Metropolitan Area Regional Office,New York City,Independent,2192,5,2187,949,15,9,807
12/06/2022,001464,New York-Presbyterian Hospital - Columbia Presbyterian Center,New York,Metropolitan Area Regional Office,New York City,New York-Presbyterian Healthcare System,14152,20,13532,10687,103,69,10930
12/06/2022,001628,Flushing Hospital Medical Center,Queens,Metropolitan Area Regional Office,New York City,MediSys Health Network,1828,2,1825,1413,27,15,1066
12/06/2022,001635,St Johns Episcopal Hospital So Shore,Queens,Metropolitan Area Regional Office,New York City,Independent,1699,0,1696,1268,34,24,815
12/06/2022,003067,Millard Fillmore Suburban Hospital,Erie,Western Regional Office,Western New York,Kaleida Health,2236,18,2206,1145,8,0,1076
12/06/2022,000798,Claxton-Hepburn Medical Center,St. Lawrence,Central New York Regional Office,North Country,North Star Health Alliance,942,1,941,803,5,3,718
12/06/2022,000870,St. James Hospital,Steuben,Western Regional Office,Southern Tier,University of Rochester Medical Center,356,7,349,114,0,0,356
12/06/2022,000889,University Hospital - Stony Brook Southampton Hospital,Suffolk,Metropolitan Area Regional Office,Long Island,Stony Brook Medicine,1271,0,1271,1011,20,20,1271
12/06/2022,000103,UPMC Chautauqua at WCA,Chautauqua,Western Regional Office,Western New York,UPMC,832,10,805,573,3,3,593
12/06/2022,000111,Westfield Memorial Hospital Inc,Chautauqua,Western Regional Office,Western New York,Allegheny Health Network,88,0,88,61,0,0,88
12/06/2022,000180,Mid-Hudson Valley Division of Westchester Medical Center,Dutchess,Metropolitan Area Regional Office,Mid-Hudson,Westchester Medical Center Health Network,1399,0,1392,1081,9,7,979
12/06/2022,000379,Carthage Area Hospital Inc,Jefferson,Central New York Regional Office,North Country,Independent,518,1,514,499,1,0,401
12/06/2022,000490,Glen Cove Hospital,Nassau,Metropolitan Area Regional Office,Long Island,Northwell Health,941,0,936,677,3,3,681
12/06/2022,000550,Syosset Hospital,Nassau,Metropolitan Area Regional Office,Long Island,Northwell Health,624,2,619,467,0,0,378
12/06/2022,000551,St. Joseph Hospital,Nassau,Metropolitan Area Regional Office,Long Island,Catholic Health Services of Long Island,811,2,804,645,8,7,480
12/06/2022,000574,Niagara Falls Memorial Medical Center,Niagara,Western Regional Office,Western New York,Independent,1098,0,1096,849,6,3,730
12/06/2022,000581,Degraff Memorial Hospital,Niagara,Western Regional Office,Western New York,Kaleida Health,123,0,122,80,2,0,59
12/06/2022,000598,St Elizabeth Medical Center,Oneida,Central New York Regional Office,Mohawk Valley,Mohawk Valley Health System,1424,61,1332,610,1,0,916
12/06/2022,000746,Mary Imogene Bassett Hospital,Otsego,Capital District Regional Office,Mohawk Valley,Bassett Healthcare Network,3256,7,3243,2603,6,4,2698
12/06/2022,001165,Jacobi Medical Center,Bronx,Metropolitan Area Regional Office,New York City,NYC H+H,6375,100,5929,1914,11,4,4960
12/06/2022,001172,Lincoln Medical and Mental Health Center,Bronx,Metropolitan Area Regional Office,New York City,NYC H+H,4898,80,4479,1498,23,11,3258
12/06/2022,001061,Montefiore Mount Vernon Hospital,Westchester,Metropolitan Area Regional Office,Mid-Hudson,Montefiore Healthcare System,497,0,484,348,0,0,352
12/06/2022,001124,SJRH - Dobbs Ferry Pavillion,Westchester,Metropolitan Area Regional Office,Mid-Hudson,"Riverside Health Care System, Inc.",161,0,158,137,2,0,58
12/06/2022,001176,SBH Health System,Bronx,Metropolitan Area Regional Office,New York City,Independent,3269,0,3269,1831,14,13,2716
12/06/2022,001301,Kings County Hospital Center,Kings,Metropolitan Area Regional Office,New York City,NYC H+H,6852,95,6581,1538,13,10,5167
12/06/2022,001309,Interfaith Medical Center,Kings,Metropolitan Area Regional Office,New York City,One Brooklyn Health System,1836,9,1823,984,9,0,1221
12/06/2022,001320,University Hospital of Brooklyn,Kings,Metropolitan Area Regional Office,New York City,Independent,2856,0,2826,1950,20,15,2049
12/06/2022,001447,Hospital for Special Surgery,New York,Metropolitan Area Regional Office,New York City,Independent,5226,0,5203,4599,61,48,4129
12/06/2022,001466,Mount Sinai West,New York,Metropolitan Area Regional Office,New York City,Mount Sinai Health System,3458,0,3456,2484,9,6,2457
12/06/2022,001723,Mercy Hospital - Mercy Hospital Orchard Park Division,Erie,Western Regional Office,Western New York,"Catholic Health, Buffalo",123,0,121,61,2,1,95
12/06/2022,000817,Clifton-Fine Hospital,St. Lawrence,Central New York Regional Office,North Country,Independent,103,0,102,93,0,0,64
12/06/2022,000873,Ira Davenport Memorial Hospital,Steuben,Western Regional Office,Southern Tier,Arnot Health,99,1,98,66,1,0,76
12/06/2022,000938,Peconic Bay Medical Center,Suffolk,Metropolitan Area Regional Office,Long Island,Northwell Health,1162,1,1155,911,2,0,698
12/06/2022,000116,Arnot Ogden Medical Center,Chemung,Western Regional Office,Southern Tier,Arnot Health,2317,13,2300,1542,20,12,1735
12/06/2022,000128,Chenango Memorial Hospital Inc,Chenango,Central New York Regional Office,Southern Tier,"United Health Services Hospitals, Inc.",435,1,433,134,0,0,259
12/06/2022,000207,Buffalo General Medical Center,Erie,Western Regional Office,Western New York,Kaleida Health,3704,27,3667,1734,25,25,1578
12/06/2022,000292,Sisters of Charity Hospital - St. Joseph Campus,Erie,Western Regional Office,Western New York,"Catholic Health, Buffalo",419,0,416,267,2,1,323
12/06/2022,000303,The University of Vermont Health Network - Elizabethtown Community Hospital,Essex,Capital District Regional Office,North Country,The University of Vermont Health Network,270,0,270,257,3,1,208
12/06/2022,000339,United Memorial Medical Center North Street Campus,Genesee,Western Regional Office,Finger Lakes,Rochester Regional Health System,781,6,772,531,0,0,557
12/06/2022,000527,Mount Sinai South Nassau,Nassau,Metropolitan Area Regional Office,Long Island,Mount Sinai Health System,4999,3,4994,2533,27,27,3875
12/06/2022,000541,North Shore University Hospital,Nassau,Metropolitan Area Regional Office,Long Island,Northwell Health,6014,13,5951,4306,23,16,4416
12/06/2022,000563,St Francis Hospital,Nassau,Metropolitan Area Regional Office,Long Island,Catholic Health Services of Long Island,3362,0,3342,2459,37,37,2944
12/06/2022,000589,"Rome Memorial Hospital, Inc",Oneida,Central New York Regional Office,Mohawk Valley,St. Josephs Hospital Syracuse NY,1354,3,1340,1203,5,4,868
12/06/2022,000628,UPSTATE University Hospital at Community General,Onondaga,Central New York Regional Office,Central New York,Independent,1477,0,1477,1174,10,9,1374
12/06/2022,001002,Ellenville Regional Hospital,Ulster,Metropolitan Area Regional Office,Mid-Hudson,Independent,336,0,335,178,0,0,218
12/06/2022,001168,Montefiore Medical Center-Wakefield Hospital,Bronx,Metropolitan Area Regional Office,New York City,Montefiore Healthcare System,2982,3,2974,2387,9,10,1777
12/06/2022,001169,Montefiore Medical Center - Henry and Lucy Moses Div,Bronx,Metropolitan Area Regional Office,New York City,Montefiore Healthcare System,9915,12,9884,7934,31,22,5905
12/06/2022,001437,New York-Presbyterian/Lower Manhattan Hospital,New York,Metropolitan Area Regional Office,New York City,New York-Presbyterian Healthcare System,1364,6,1289,1012,10,6,1032
12/06/2022,001629,Jamaica Hospital Medical Center,Queens,Metropolitan Area Regional Office,New York City,MediSys Health Network,3889,7,3881,2850,43,24,1950
12/06/2022,001737,Staten Island University Hosp-South,Richmond,Metropolitan Area Regional Office,New York City,Northwell Health,955,0,945,559,4,2,642
12/06/2022,001740,Staten Island University Hosp-North,Richmond,Metropolitan Area Regional Office,New York City,Northwell Health,4659,8,4618,3018,3,2,2835
12/06/2022,003975,New York-Presbyterian Hospital - Allen Hospital,New York,Metropolitan Area Regional Office,New York City,New York-Presbyterian Healthcare System,1174,7,1125,840,8,3,867
12/06/2022,000776,Montefiore Nyack,Rockland,Metropolitan Area Regional Office,Mid-Hudson,Montefiore Healthcare System,1709,95,1614,362,0,0,1709
12/06/2022,000779,Good Samaritan Hospital of Suffern,Rockland,Metropolitan Area Regional Office,Mid-Hudson,Westchester Medical Center Health Network,2234,0,2230,996,9,8,1240
12/06/2022,000812,Gouverneur Hospital,St. Lawrence,Central New York Regional Office,North Country,St. Lawrence Health System,183,0,183,138,0,0,133
12/06/2022,000583,Mount St Marys Hospital and Health Center,Niagara,Western Regional Office,Western New York,"Catholic Health, Buffalo",879,2,868,502,1,1,601
12/06/2022,000718,Medina Memorial Hospital,Orleans,Western Regional Office,Finger Lakes,Independent,197,0,194,139,0,0,101
12/06/2022,000943,St Catherine of Siena Hospital,Suffolk,Metropolitan Area Regional Office,Long Island,Catholic Health Services of Long Island,1556,0,1517,870,20,16,998
12/06/2022,000971,Catskill Regional Medical Center,Sullivan,Metropolitan Area Regional Office,Mid-Hudson,Garnet Health -formerly Greater Hudson Valley Health System,574,0,574,402,3,3,459
12/06/2022,001097,SJRH - St Johns Division,Westchester,Metropolitan Area Regional Office,Mid-Hudson,"Riverside Health Care System, Inc.",1459,0,1447,1197,8,4,710
12/06/2022,001138,Blythedale Childrens Hospital,Westchester,Metropolitan Area Regional Office,Mid-Hudson,Independent,785,0,785,684,0,0,461
12/06/2022,001139,Westchester Medical Center,Westchester,Metropolitan Area Regional Office,Mid-Hudson,Westchester Medical Center Health Network,6342,0,6327,4854,46,23,3809
12/06/2022,001158,Soldiers and Sailors Memorial Hospital of Yates County Inc,Yates,Western Regional Office,Finger Lakes,Finger Lakes Health,215,0,215,184,0,0,209
12/06/2022,001178,BronxCare Hospital Center,Bronx,Metropolitan Area Regional Office,New York City,Independent,4620,2,4609,3684,10,6,2747
12/06/2022,001185,Montefiore Medical Center - Montefiore Westchester Square,Bronx,Metropolitan Area Regional Office,New York City,Montefiore Healthcare System,994,1,991,796,3,3,592
12/06/2022,001286,Brookdale Hospital Medical Center,Kings,Metropolitan Area Regional Office,New York City,One Brooklyn Health System,3629,0,3605,1972,0,0,1868
12/06/2022,001304,NYU Langone Hospital-Brooklyn,Kings,Metropolitan Area Regional Office,New York City,NYU Langone Health,3988,6,3975,3096,20,14,2886
12/06/2022,001450,Lenox Hill Hospital,New York,Metropolitan Area Regional Office,New York City,Northwell Health,4020,10,3982,2953,2,2,2610
12/06/2022,001453,Memorial Hospital for Cancer and Allied Diseases,New York,Metropolitan Area Regional Office,New York City,Independent,22094,3,22068,21142,81,44,8888
12/06/2022,001639,Mount Sinai Hospital - Mount Sinai Hospital of Queens,Queens,Metropolitan Area Regional Office,New York City,Mount Sinai Health System,1553,0,1552,1086,3,3,1190
12/06/2022,000866,Corning Hospital,Steuben,Western Regional Office,Southern Tier,The Guthrie Clinic,712,0,709,543,10,5,451
12/06/2022,000925,Good Samaritan Hospital Medical Center,Suffolk,Metropolitan Area Regional Office,Long Island,Catholic Health Services of Long Island,3757,1,3710,2134,38,9,2533
12/06/2022,000001,Albany Medical Center Hospital,Albany,Capital District Regional Office,Capital Region,Albany Medical Center,11817,52,11462,7330,30,24,6434
12/06/2022,000165,O'Connor Hospital,Delaware,Capital District Regional Office,Southern Tier,Bassett Healthcare Network,141,1,140,106,0,0,100
12/06/2022,000397,Oneida Health Hospital,Madison,Central New York Regional Office,Central New York,Independent,564,0,564,447,3,3,480
12/06/2022,000511,NYU Winthrop Hospital,Nassau,Metropolitan Area Regional Office,Long Island,NYU Langone Health,8804,16,8758,7162,112,46,5788
12/06/2022,000518,Long Island Jewish Valley Stream,Nassau,Metropolitan Area Regional Office,Long Island,Northwell Health,1155,0,1152,788,1,0,661
12/06/2022,000513,Mercy Medical Center,Nassau,Metropolitan Area Regional Office,Long Island,Catholic Health Services of Long Island,1819,1,1799,995,9,4,767
12/06/2022,000565,Eastern Niagara Hospital - Lockport Division,Niagara,Western Regional Office,Western New York,Independent,340,0,340,277,0,0,145
12/06/2022,000599,Faxton-St Lukes Healthcare St Lukes Division,Oneida,Central New York Regional Office,Mohawk Valley,Mohawk Valley Health System,2052,73,1947,1308,1,0,1340
12/06/2022,000636,Crouse Hospital,Onondaga,Central New York Regional Office,Central New York,Crouse Health,2788,5,2780,2321,11,8,1840
12/06/2022,001046,Winifred Masterson Burke Rehabilitation Hospital,Westchester,Metropolitan Area Regional Office,Mid-Hudson,Montefiore Healthcare System,1008,0,1004,885,0,0,677
12/06/2022,001129,Phelps Hospital,Westchester,Metropolitan Area Regional Office,Mid-Hudson,Northwell Health,1497,5,1469,1176,0,0,843
12/06/2022,001315,Kingsbrook Jewish Medical Center,Kings,Metropolitan Area Regional Office,New York City,One Brooklyn Health System,770,11,755,463,6,2,304
12/06/2022,001454,Metropolitan Hospital Center,New York,Metropolitan Area Regional Office,New York City,NYC H+H,3200,56,2903,1338,6,5,2333
12/06/2022,001458,New York-Presbyterian Hospital - New York Weill Cornell Center,New York,Metropolitan Area Regional Office,New York City,New York-Presbyterian Healthcare System,15597,43,15214,13110,84,49,9646
12/06/2022,003058,Montefiore Med Center - Jack D Weiler Hosp of A Einstein College Div,Bronx,Metropolitan Area Regional Office,New York City,Montefiore Healthcare System,5966,7,5948,4774,18,21,3555
12/06/2022,009700,Lenox Health Greenwich Village,New York,Metropolitan Area Regional Office,New York City,Northwell Health,196,0,194,148,0,0,103
12/06/2022,001463,NYU Langone Hospitals,New York,Metropolitan Area Regional Office,New York City,NYU Langone Health,16369,14,16310,14044,79,51,12072
12/06/2022,001626,Elmhurst Hospital Center,Queens,Metropolitan Area Regional Office,New York City,NYC H+H,6433,94,6010,1562,28,17,4645
12/06/2022,001630,Long Island Jewish Medical Center,Queens,Metropolitan Area Regional Office,New York City,Northwell Health,8565,25,8462,6355,23,16,5846
12/06/2022,001638,Long Island Jewish Forest Hills,Queens,Metropolitan Area Regional Office,New York City,Northwell Health,1417,1,1405,965,2,2,917
12/06/2022,001692,Woodhull Medical and Mental Health Center,Kings,Metropolitan Area Regional Office,New York City,NYC H+H,3132,26,3106,2585,10,6,2280
12/06/2022,001738,Richmond University Medical Center,Richmond,Metropolitan Area Regional Office,New York City,Independent,2726,77,2649,1756,0,0,1892
12/06/2022,009753,NYU Langone Health-Cobble Hill,Kings,Metropolitan Area Regional Office,New York City,NYU Langone Health,125,1,124,101,0,0,125
12/06/2022,000815,Canton-Potsdam Hospital,St. Lawrence,Central New York Regional Office,North Country,St. Lawrence Health System,1231,0,1227,1012,0,0,866
12/06/2022,000858,Schuyler Hospital,Schuyler,Western Regional Office,Southern Tier,Cayuga Health System,299,1,293,213,1,0,153
12/06/2022,000885,Long Island Community Hospital,Suffolk,Metropolitan Area Regional Office,Long Island,Independent,2281,0,2268,1723,0,0,1620
12/06/2022,000039,Memorial Hosp of Wm F and Gertrude F Jones A/K/A Jones Memorial Hosp,Allegany,Western Regional Office,Western New York,University of Rochester Medical Center,473,1,472,350,3,3,375
12/06/2022,000043,Our Lady of Lourdes Memorial Hospital Inc,Broome,Central New York Regional Office,Southern Tier,Ascension Health,3331,8,3309,2170,32,13,2578
12/06/2022,000098,"Brooks-TLC Hospital System, Inc.",Chautauqua,Western Regional Office,Western New York,Independent,540,1,529,442,0,0,372
12/06/2022,000135,The University of Vermont Health Network - Champlain Valley Physicians Hospital,Clinton,Capital District Regional Office,North Country,University of Vermont Health Network,2068,2,2056,1702,11,11,1787
12/06/2022,000174,Delaware Valley Hospital Inc,Delaware,Capital District Regional Office,Southern Tier,"United Health Services Hospitals, Inc.",251,0,251,169,2,2,152
12/06/2022,000181,Vassar Brothers Medical Center,Dutchess,Metropolitan Area Regional Office,Mid-Hudson,Nuvance Health,2531,0,2510,1844,0,0,1804
12/06/2022,000208,John R. Oishei Children's Hospital,Erie,Western Regional Office,Western New York,Kaleida Health,1989,2,1975,1197,18,16,1138
12/06/2022,000245,University Hospital,Suffolk,Metropolitan Area Regional Office,Long Island,Stony Brook Medicine,10487,76,10057,7064,127,72,5984
12/06/2022,000267,Kenmore Mercy Hospital,Erie,Western Regional Office,Western New York,"Catholic Health, Buffalo",1338,2,1328,726,5,4,1077
12/06/2022,000280,Bertrand Chaffee Hospital,Erie,Western Regional Office,Western New York,Independent,344,0,342,258,0,0,191
12/06/2022,000330,Nathan Littauer Hospital,Fulton,Capital District Regional Office,Mohawk Valley,Independent,1095,1,1082,562,5,4,706
12/06/2022,000362,Little Falls Hospital,Herkimer,Central New York Regional Office,Mohawk Valley,Bassett Healthcare Network,223,0,223,184,0,0,204
12/06/2022,000367,Samaritan Medical Center,Jefferson,Central New York Regional Office,North Country,Independent,2106,5,2037,1250,37,21,1484
12/06/2022,000377,"River Hospital, Inc.",Jefferson,Central New York Regional Office,North Country,Independent,254,0,254,196,1,1,191
12/06/2022,000393,Nicholas H. Noyes Memorial Hospital,Livingston,Western Regional Office,Finger Lakes,University of Rochester Medical Center,509,0,509,393,0,0,509
12/06/2022,000401,Community Memorial Hospital Inc,Madison,Central New York Regional Office,Central New York,Crouse Health,536,1,514,369,2,1,456
12/06/2022,000146,Columbia Memorial Hospital,Columbia,Capital District Regional Office,Capital Region,Albany Medical Center,1590,0,1587,1243,7,6,1340
12/06/2022,000170,Margaretville Hospital,Delaware,Capital District Regional Office,Southern Tier,Westchester Medical Center Health Network,103,0,103,40,0,0,67
12/06/2022,000409,Highland Hospital,Monroe,Western Regional Office,Finger Lakes,University of Rochester Medical Center,3183,5,3166,2270,27,17,2048
12/06/2022,000482,St. Mary's Healthcare - Amsterdam Memorial Campus,Montgomery,Capital District Regional Office,Mohawk Valley,Ascension Health,269,1,268,217,1,0,190
12/06/2022,000630,St. Joseph's Hospital Health Center,Onondaga,Central New York Regional Office,Central New York,Trinity,3903,1,3891,2295,0,35,2860
11/29/2022,000598,St Elizabeth Medical Center,Oneida,Central New York Regional Office,Mohawk Valley,Mohawk Valley Health System,1424,61,1332,610,1,0,916
11/29/2022,000699,Orange Regional Medical Center,Orange,Metropolitan Area Regional Office,Mid-Hudson,Garnet Health -formerly Greater Hudson Valley Health System,3549,0,3548,2688,47,38,2839
11/29/2022,001072,Montefiore New Rochelle Hospital,Westchester,Metropolitan Area Regional Office,Mid-Hudson,Montefiore Healthcare System,1044,0,1029,808,2,0,672
11/29/2022,000739,A.O. Fox Memorial Hospital,Otsego,Capital District Regional Office,Mohawk Valley,Bassett Healthcare Network,564,0,564,429,0,0,387
11/29/2022,000746,Mary Imogene Bassett Hospital,Otsego,Capital District Regional Office,Mohawk Valley,Bassett Healthcare Network,3241,7,3228,2588,7,2,2693
11/29/2022,001129,Phelps Hospital,Westchester,Metropolitan Area Regional Office,Mid-Hudson,Northwell Health,1497,5,1470,1178,0,0,843
11/29/2022,001153,Wyoming County Community Hospital,Wyoming,Western Regional Office,Finger Lakes,Independent,633,31,602,431,0,0,364
11/29/2022,001185,Montefiore Medical Center - Montefiore Westchester Square,Bronx,Metropolitan Area Regional Office,New York City,Montefiore Healthcare System,991,1,988,793,3,2,590
11/29/2022,001186,North Central Bronx Hospital,Bronx,Metropolitan Area Regional Office,New York City,NYC H+H,1717,24,1630,379,4,2,1185
11/29/2022,001288,Brooklyn Hospital Center - Downtown Campus,Kings,Metropolitan Area Regional Office,New York City,Independent,2616,7,2604,1277,8,4,1627
11/29/2022,001626,Elmhurst Hospital Center,Queens,Metropolitan Area Regional Office,New York City,NYC H+H,6425,93,6005,1564,23,17,4643
11/29/2022,001638,Long Island Jewish Forest Hills,Queens,Metropolitan Area Regional Office,New York City,Northwell Health,1420,1,1408,965,2,2,917
11/29/2022,001737,Staten Island University Hosp-South,Richmond,Metropolitan Area Regional Office,New York City,Northwell Health,955,0,945,558,4,2,642
11/29/2022,001738,Richmond University Medical Center,Richmond,Metropolitan Area Regional Office,New York City,Independent,2711,3,2678,2058,0,0,1847
11/29/2022,000779,Good Samaritan Hospital of Suffern,Rockland,Metropolitan Area Regional Office,Mid-Hudson,Westchester Medical Center Health Network,2234,0,2230,996,2,2,1240
11/29/2022,000889,University Hospital - Stony Brook Southampton Hospital,Suffolk,Metropolitan Area Regional Office,Long Island,Stony Brook Medicine,1267,0,1267,1008,8,8,1267
11/29/2022,000870,St. James Hospital,Steuben,Western Regional Office,Southern Tier,University of Rochester Medical Center,356,7,349,114,0,0,356
11/29/2022,000891,University Hospital - Stony Brook Eastern Long Island Hospital,Suffolk,Metropolitan Area Regional Office,Long Island,Stony Brook Medicine,511,0,511,437,4,1,373
11/29/2022,000913,Huntington Hospital,Suffolk,Metropolitan Area Regional Office,Long Island,Northwell Health,1746,4,1736,1265,7,4,1215
11/29/2022,000058,United Health Services Hospitals Inc. - Wilson Medical Center,Broome,Central New York Regional Office,Southern Tier,"United Health Services Hospitals, Inc.",3746,14,3729,2370,31,19,1934
11/29/2022,000066,Olean General Hospital,Cattaraugus,Western Regional Office,Western New York,Kaleida Health,1145,15,1110,489,2,2,1015
11/29/2022,000085,Auburn Community Hospital,Cayuga,Central New York Regional Office,Central New York,Independent,1348,2,1337,1037,5,2,737
11/29/2022,000118,St. Joseph's Hospital,Chemung,Western Regional Office,Southern Tier,Arnot Health,182,1,181,108,0,0,147
11/29/2022,000208,John R. Oishei Children's Hospital,Erie,Western Regional Office,Western New York,Kaleida Health,1989,2,1975,1197,6,6,1138
11/29/2022,000267,Kenmore Mercy Hospital,Erie,Western Regional Office,Western New York,"Catholic Health, Buffalo",1352,3,1341,735,2,2,1093
11/29/2022,000292,Sisters of Charity Hospital - St. Joseph Campus,Erie,Western Regional Office,Western New York,"Catholic Health, Buffalo",421,0,418,268,0,1,322
11/29/2022,000324,Adirondack Medical Center-Saranac Lake Site,Franklin,Capital District Regional Office,North Country,Independent,915,0,913,862,3,3,624
11/29/2022,000340,United Memorial Medical Center Bank Street Campus,Genesee,Western Regional Office,Finger Lakes,Rochester Regional Health System,85,0,85,54,0,0,71
11/29/2022,000484,St. Mary's Healthcare,Montgomery,Capital District Regional Office,Mohawk Valley,Ascension Health,1476,5,1460,1039,2,1,1021
11/29/2022,000490,Glen Cove Hospital,Nassau,Metropolitan Area Regional Office,Long Island,Northwell Health,942,0,936,678,3,3,681
11/29/2022,000513,Mercy Medical Center,Nassau,Metropolitan Area Regional Office,Long Island,Catholic Health Services of Long Island,1801,1,1781,984,6,3,755
11/29/2022,000541,North Shore University Hospital,Nassau,Metropolitan Area Regional Office,Long Island,Northwell Health,6023,13,5959,4314,23,16,4430
11/29/2022,000599,Faxton-St Lukes Healthcare St Lukes Division,Oneida,Central New York Regional Office,Mohawk Valley,Mohawk Valley Health System,2052,73,1947,1308,1,0,1340
